2020-04-07 23:38:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.68897914, 	1.9, 	54.11, 	50.4609848, 	2.918091%, 	0.400000%, 	2.518091%
2020-04-07 23:38:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.62417384, 	11.24072741, 	54.11, 	96.502932, 	2.798325%, 	0.400000%, 	2.398325%
2020-04-07 23:39:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64750759, 	5.1420491, 	54.11, 	79.3352481, 	2.841448%, 	0.400000%, 	2.441448%
2020-04-07 23:39:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.68753551, 	4.47, 	54.09, 	42.37394006, 	2.953477%, 	0.400000%, 	2.553477%
2020-04-07 23:40:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.69073553, 	5.14006682, 	54.09, 	6.0, 	2.959393%, 	0.400000%, 	2.559393%
2020-04-07 23:40:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.69073559, 	11.24006682, 	54.08, 	57.0782313, 	2.978431%, 	0.400000%, 	2.578431%
2020-04-07 23:41:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.7775233, 	97.191536, 	54.06, 	6.0, 	3.177069%, 	0.400000%, 	2.777069%
2020-04-07 23:41:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.77752334, 	97.38828, 	54.06, 	101.74005014, 	3.177069%, 	0.400000%, 	2.777069%
2020-04-07 23:42:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.77752341, 	9.60374614, 	54.06, 	81.28849212, 	3.177069%, 	0.400000%, 	2.777069%
2020-04-07 23:42:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.77752341, 	9.60374614, 	54.05, 	73.49430152, 	3.196158%, 	0.400000%, 	2.796158%
